Plant_No,No_of_seeds,Date_Collected
138,2,28-Feb-2008
138,1,28-Feb-2008
138,1,28-Feb-2008
150,1,28-Feb-2008
150,1,28-Feb-2008
243,2,28-Feb-2008
247,3,28-Feb-2008
247,3,28-Feb-2008
248,1,28-Feb-2008
248,1,28-Feb-2008
248,3,28-Feb-2008
266,1,28-Feb-2008
277,1,28-Feb-2008
278,2,28-Feb-2008
22,2,29-Feb-2008
22,2,29-Feb-2008
22,2,29-Feb-2008
22,1,29-Feb-2008
22,3,29-Feb-2008
186,1,29-Feb-2008
249,2,29-Feb-2008
259,2,29-Feb-2008
259,3,29-Feb-2008
261,3,29-Feb-2008
273,2,29-Feb-2008
273,3,29-Feb-2008
274,2,29-Feb-2008
274,3,29-Feb-2008
275,2,29-Feb-2008
279,2,29-Feb-2008
279,2,29-Feb-2008
280,2,29-Feb-2008
280,3,29-Feb-2008
16,2,1-Mar-2008
22,2,1-Mar-2008
22,3,1-Mar-2008
78,3,1-Mar-2008
78,2,1-Mar-2008
119,1,1-Mar-2008
119,1,1-Mar-2008
151,3,1-Mar-2008
239,2,1-Mar-2008
239,1,1-Mar-2008
239,1,1-Mar-2008
239,1,1-Mar-2008
247,3,1-Mar-2008
249,3,1-Mar-2008
251,3,1-Mar-2008
266,2,1-Mar-2008
266,1,1-Mar-2008
268,3,1-Mar-2008
269,3,1-Mar-2008
270,2,1-Mar-2008
270,1,1-Mar-2008
270,3,1-Mar-2008
270,3,1-Mar-2008
270,3,1-Mar-2008
270,3,1-Mar-2008
271,2,1-Mar-2008
271,1,1-Mar-2008
272,2,1-Mar-2008
273,3,1-Mar-2008
280,3,1-Mar-2008
281,2,1-Mar-2008
281,2,1-Mar-2008
281,2,1-Mar-2008
281,3,1-Mar-2008
281,3,1-Mar-2008
282,2,1-Mar-2008
283,1,1-Mar-2008
283,2,1-Mar-2008
12,2,2-Mar-2008
22,1,2-Mar-2008
24,3,2-Mar-2008
24,3,2-Mar-2008
24,2,2-Mar-2008
24,2,2-Mar-2008
24,2,2-Mar-2008
24,1,2-Mar-2008
24,1,2-Mar-2008
24,1,2-Mar-2008
24,3,2-Mar-2008
24,3,2-Mar-2008
26,2,2-Mar-2008
105,3,2-Mar-2008
151,3,2-Mar-2008
165,1,2-Mar-2008
237,2,2-Mar-2008
237,3,2-Mar-2008
237,2,2-Mar-2008
239,2,2-Mar-2008
241,1,2-Mar-2008
241,1,2-Mar-2008
249,2,2-Mar-2008
254,3,2-Mar-2008
261,3,2-Mar-2008
261,1,2-Mar-2008
277,2,2-Mar-2008
277,2,2-Mar-2008
278,2,2-Mar-2008
284,3,2-Mar-2008
284,2,2-Mar-2008
285,1,2-Mar-2008
286,2,2-Mar-2008
286,2,2-Mar-2008
286,3,2-Mar-2008
286,3,2-Mar-2008
287,1,2-Mar-2008
288,2,2-Mar-2008
288,1,2-Mar-2008
12,2,3-Mar-2008
22,1,3-Mar-2008
85,1,3-Mar-2008
105,3,3-Mar-2008
150,2,3-Mar-2008
150,2,3-Mar-2008
150,1,3-Mar-2008
170,3,3-Mar-2008
179,2,3-Mar-2008
234,1,3-Mar-2008
248,3,3-Mar-2008
249,3,3-Mar-2008
266,2,3-Mar-2008
267,2,3-Mar-2008
267,1,3-Mar-2008
277,2,3-Mar-2008
277,1,3-Mar-2008
278,2,3-Mar-2008
281,2,3-Mar-2008
281,2,3-Mar-2008
289,2,3-Mar-2008
290,2,3-Mar-2008
290,2,3-Mar-2008
290,2,3-Mar-2008
176,2,6-Mar-2008
239,1,6-Mar-2008
259,3,6-Mar-2008
259,3,6-Mar-2008
260,2,6-Mar-2008
265,2,6-Mar-2008
269,3,6-Mar-2008
269,3,6-Mar-2008
270,2,6-Mar-2008
270,1,6-Mar-2008
270,1,6-Mar-2008
270,3,6-Mar-2008
273,2,6-Mar-2008
273,3,6-Mar-2008
273,3,6-Mar-2008
274,1,6-Mar-2008
274,1,6-Mar-2008
Matrix_Esteio,3,6-Mar-2008
Matrix_Esteio,3,6-Mar-2008
Matrix_Esteio,2,9-Mar-2008
Matrix_Esteio,2,9-Mar-2008
Matrix_Esteio,1,9-Mar-2008
Matrix_PortoAlergre,2,9-Mar-2008
Matrix_PortoAlergre,1,9-Mar-2008
Matrix_PortoAlergre,1,9-Mar-2008
Matrix_PortoAlergre,3,9-Mar-2008
Matrix_PortoAlergre,3,9-Mar-2008
Matrix_PortoAlergre,3,9-Mar-2008
20,1,11-Mar-2008
20,3,11-Mar-2008
20,3,11-Mar-2008
22,1,11-Mar-2008
22,3,11-Mar-2008
22,3,11-Mar-2008
75,2,11-Mar-2008
76,2,11-Mar-2008
79,2,11-Mar-2008
85,1,11-Mar-2008
88,2,11-Mar-2008
88,1,11-Mar-2008
88,1,11-Mar-2008
98,2,11-Mar-2008
98,1,11-Mar-2008
98,2,11-Mar-2008
98,2,11-Mar-2008
98,3,11-Mar-2008
101,1,11-Mar-2008
105,2,11-Mar-2008
105,2,11-Mar-2008
105,2,11-Mar-2008
105,1,11-Mar-2008
105,3,11-Mar-2008
106,2,11-Mar-2008
106,1,11-Mar-2008
107,2,11-Mar-2008
111,3,11-Mar-2008
126,2,11-Mar-2008
130,2,11-Mar-2008
135,2,11-Mar-2008
135,3,11-Mar-2008
140,3,11-Mar-2008
148,2,11-Mar-2008
150,1,11-Mar-2008
150,1,11-Mar-2008
150,3,11-Mar-2008
152,2,11-Mar-2008
152,1,11-Mar-2008
166,2,11-Mar-2008
172,1,11-Mar-2008
174,2,11-Mar-2008
177,1,11-Mar-2008
183,1,11-Mar-2008
201,2,11-Mar-2008
210,1,11-Mar-2008
237,2,11-Mar-2008
237,2,11-Mar-2008
237,2,11-Mar-2008
237,2,11-Mar-2008
237,1,11-Mar-2008
240,1,11-Mar-2008
242,3,11-Mar-2008
245,2,11-Mar-2008
245,1,11-Mar-2008
247,2,11-Mar-2008
247,2,11-Mar-2008
247,3,11-Mar-2008
247,2,11-Mar-2008
249,2,11-Mar-2008
249,2,11-Mar-2008
249,3,11-Mar-2008
249,3,11-Mar-2008
251,1,11-Mar-2008
251,1,11-Mar-2008
