run,ipm,lambda,ipm_type,habitat
1,lag_cf,0.955,lag,cf
2,lag_cf,0.985,lag,cf
3,lag_cf,0.982,lag,cf
4,lag_cf,0.953,lag,cf
5,lag_cf,0.964,lag,cf
6,lag_cf,0.981,lag,cf
7,lag_cf,0.942,lag,cf
8,lag_cf,0.988,lag,cf
9,lag_cf,0.969,lag,cf
10,lag_cf,1.006,lag,cf
11,lag_cf,1,lag,cf
12,lag_cf,0.968,lag,cf
13,lag_cf,1.043,lag,cf
14,lag_cf,0.986,lag,cf
15,lag_cf,0.978,lag,cf
16,lag_cf,0.98,lag,cf
17,lag_cf,0.985,lag,cf
18,lag_cf,0.988,lag,cf
19,lag_cf,0.97,lag,cf
20,lag_cf,0.992,lag,cf
21,lag_cf,0.993,lag,cf
22,lag_cf,0.961,lag,cf
23,lag_cf,0.987,lag,cf
24,lag_cf,0.987,lag,cf
25,lag_cf,1,lag,cf
26,lag_cf,0.978,lag,cf
27,lag_cf,0.968,lag,cf
28,lag_cf,0.985,lag,cf
29,lag_cf,0.973,lag,cf
30,lag_cf,0.983,lag,cf
31,lag_cf,1.016,lag,cf
32,lag_cf,0.999,lag,cf
33,lag_cf,0.955,lag,cf
34,lag_cf,0.991,lag,cf
35,lag_cf,1.005,lag,cf
36,lag_cf,0.967,lag,cf
37,lag_cf,0.975,lag,cf
38,lag_cf,1,lag,cf
39,lag_cf,0.987,lag,cf
40,lag_cf,0.962,lag,cf
41,lag_cf,0.944,lag,cf
42,lag_cf,0.98,lag,cf
43,lag_cf,0.95,lag,cf
44,lag_cf,0.992,lag,cf
45,lag_cf,0.974,lag,cf
46,lag_cf,0.982,lag,cf
47,lag_cf,0.982,lag,cf
48,lag_cf,0.953,lag,cf
49,lag_cf,0.967,lag,cf
50,lag_cf,0.988,lag,cf
51,lag_cf,0.95,lag,cf
52,lag_cf,0.967,lag,cf
53,lag_cf,0.999,lag,cf
54,lag_cf,1.01,lag,cf
55,lag_cf,0.982,lag,cf
56,lag_cf,0.965,lag,cf
57,lag_cf,0.977,lag,cf
58,lag_cf,0.97,lag,cf
59,lag_cf,0.957,lag,cf
60,lag_cf,0.955,lag,cf
